State,County,Dentists,Mental health providers,Primary care physicians
NC,Lincoln County,34.0,23.0,46.0
NC,Lincoln County,34.0,50.0,42.0
NC,Macon County,47.0,96.0,79.0
NC,Macon County,50.0,151.0,77.0
NC,Madison County,18.0,105.0,53.0
NC,Madison County,24.0,152.0,53.0
NC,Martin County,21.0,75.0,37.0
NC,Martin County,21.0,114.0,46.0
NC,McDowell County,26.0,62.0,38.0
NC,McDowell County,29.0,127.0,36.0
NC,Mecklenburg County,64.0,149.0,87.0
NC,Mecklenburg County,65.0,242.0,86.0
NC,Mitchell County,45.0,77.0,91.0
NC,Mitchell County,39.0,104.0,78.0
NC,Montgomery County,7.0,104.0,29.0
NC,Montgomery County,7.0,141.0,33.0
NC,Moore County,63.0,167.0,92.0
NC,Moore County,61.0,223.0,97.0
NC,Nash County,47.0,80.0,60.0
NC,Nash County,49.0,119.0,60.0
NC,New Hanover County,69.0,254.0,88.0
NC,New Hanover County,72.0,364.0,92.0
NC,Northampton County,13.0,40.0,9.0
NC,Northampton County,14.0,48.0,9.0
NC,Onslow County,80.0,111.0,33.0
NC,Onslow County,89.0,184.0,33.0
NC,Orange County,170.0,486.0,198.0
NC,Orange County,185.0,596.0,180.0
NC,Pamlico County,29.0,44.0,38.0
NC,Pamlico County,31.0,54.0,38.0
NC,Pasquotank County,35.0,115.0,54.0
NC,Pasquotank County,40.0,193.0,71.0
NC,Pender County,31.0,56.0,32.0
NC,Pender County,33.0,72.0,31.0
NC,Perquimans County,7.0,44.0,22.0
NC,Perquimans County,7.0,44.0,22.0
NC,Person County,33.0,45.0,33.0
NC,Person County,36.0,99.0,33.0
NC,Pitt County,54.0,191.0,99.0
NC,Pitt County,61.0,337.0,99.0
NC,Polk County,39.0,131.0,54.0
NC,Polk County,39.0,216.0,54.0
NC,Randolph County,26.0,67.0,48.0
NC,Randolph County,27.0,104.0,45.0
NC,Richmond County,27.0,92.0,43.0
NC,Richmond County,28.0,136.0,45.0
NC,Robeson County,19.0,98.0,44.0
NC,Robeson County,21.0,182.0,45.0
NC,Rockingham County,29.0,77.0,42.0
NC,Rockingham County,30.0,113.0,39.0
NC,Rowan County,36.0,143.0,43.0
NC,Rowan County,38.0,181.0,41.0
NC,Rutherford County,25.0,89.0,55.0
NC,Rutherford County,24.0,134.0,52.0
NC,Sampson County,28.0,35.0,50.0
NC,Sampson County,30.0,42.0,47.0
NC,Scotland County,18.0,78.0,75.0
NC,Scotland County,25.0,147.0,69.0
NC,Stanly County,29.0,118.0,43.0
NC,Stanly County,35.0,208.0,48.0
NC,Stokes County,13.0,23.0,17.0
NC,Stokes County,13.0,34.0,17.0
NC,Surry County,32.0,62.0,72.0
NC,Surry County,34.0,122.0,75.0
NC,Swain County,49.0,104.0,107.0
NC,Swain County,57.0,156.0,99.0
NC,Transylvania County,32.0,112.0,70.0
NC,Transylvania County,33.0,170.0,70.0
NC,Tyrrell County,,40.0,
NC,Tyrrell County,,73.0,
NC,Union County,24.0,86.0,57.0
NC,Union County,24.0,111.0,59.0
NC,Vance County,41.0,137.0,51.0
NC,Vance County,42.0,212.0,44.0
NC,Wake County,62.0,177.0,80.0
NC,Wake County,65.0,267.0,81.0
NC,Warren County,18.0,14.0,14.0
NC,Warren County,19.0,63.0,15.0
NC,Washington County,31.0,116.0,39.0
NC,Washington County,24.0,141.0,39.0
NC,Watauga County,50.0,231.0,82.0
NC,Watauga County,61.0,399.0,64.0
NC,Wayne County,41.0,131.0,52.0
NC,Wayne County,42.0,189.0,53.0
NC,Wilkes County,30.0,100.0,43.0
NC,Wilkes County,32.0,155.0,40.0
NC,Wilson County,34.0,74.0,41.0
NC,Wilson County,36.0,119.0,43.0
NC,Yadkin County,18.0,39.0,29.0
NC,Yadkin County,18.0,60.0,29.0
NC,Yancey County,28.0,67.0,73.0
NC,Yancey County,28.0,165.0,74.0
